sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00096	Aldy	19.5	0	0	0
HG00097	Aldy	7.8	0	0	0
HG00099	Aldy	8.3	0	0	0
HG00100	Aldy	7.9	0	0	0
HG00101	Aldy	7.7	0	0	0
HG00102	Aldy	10.1	0	0	0
HG00103	Aldy	8.9	0	0	0
HG00105	Aldy	9.2	0	0	0
HG00106	Aldy	11.7	0	0	0
HG00107	Aldy	11.7	0	0	0
HG00108	Aldy	10.6	0	0	0
HG00109	Aldy	10.7	0	0	0
HG00110	Aldy	11.7	0	0	0
HG00111	Aldy	11.7	0	0	0
HG00112	Aldy	11.3	0	0	0
HG00113	Aldy	11.8	0	0	0
HG00114	Aldy	14.2	0	0	0
HG00115	Aldy	9.5	0	0	0
HG00116	Aldy	10.5	0	0	0
HG00117	Aldy	8.6	0	0	0
HG00118	Aldy	9.7	0	0	0
HG00119	Aldy	9.4	0	0	0
HG00120	Aldy	12.0	0	0	0
HG00121	Aldy	11.3	0	0	0
HG00122	Aldy	10.2	0	0	0
HG00123	Aldy	10.3	0	0	0
HG00125	Aldy	11.2	0	0	0
HG00126	Aldy	9.5	0	0	0
HG00127	Aldy	10.7	0	0	0
HG00128	Aldy	10.5	0	0	0
HG00129	Aldy	9.7	0	0	0
HG00130	Aldy	9.0	0	0	0
HG00131	Aldy	7.3	0	0	0
HG00132	Aldy	7.7	0	0	0
HG00133	Aldy	25.6	0	0	0
HG00136	Aldy	13.6	0	0	0
HG00137	Aldy	7.6	0	0	0
HG00138	Aldy	9.3	0	0	0
HG00139	Aldy	10.6	0	0	0
HG00140	Aldy	9.1	0	0	0
HG00141	Aldy	12.8	0	0	0
HG00142	Aldy	10.0	0	0	0
HG00143	Aldy	10.1	0	0	0
HG00145	Aldy	9.9	0	0	0
HG00146	Aldy	9.6	0	0	0
HG00148	Aldy	12.5	0	0	0
HG00149	Aldy	9.4	0	0	0
HG00150	Aldy	8.5	0	0	0
HG00151	Aldy	13.0	0	0	0
HG00154	Aldy	11.2	0	0	0
HG00155	Aldy	10.3	0	0	0
HG00157	Aldy	9.7	0	0	0
HG00158	Aldy	7.7	0	0	0
HG00159	Aldy	8.9	0	0	0
HG00160	Aldy	9.4	0	0	0
HG00171	Aldy	11.7	0	0	0
HG00173	Aldy	12.3	0	0	0
HG00174	Aldy	7.9	0	0	0
HG00176	Aldy	8.5	0	0	0
HG00177	Aldy	7.9	0	0	0
HG00178	Aldy	9.5	0	0	0
HG00179	Aldy	10.0	0	0	0
HG00180	Aldy	10.4	0	0	0
HG00181	Aldy	10.5	0	0	0
HG00182	Aldy	8.0	0	0	0
HG00183	Aldy	14.1	0	0	0
HG00185	Aldy	10.9	0	0	0
HG00186	Aldy	11.1	0	0	0
HG00187	Aldy	10.8	0	0	0
HG00188	Aldy	12.7	0	0	0
HG00189	Aldy	12.1	0	0	0
HG00190	Aldy	9.2	0	0	0
HG00231	Aldy	13.5	0	0	0
HG00232	Aldy	10.5	0	0	0
HG00233	Aldy	13.0	0	0	0
HG00234	Aldy	16.8	0	0	0
