sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00096	GenomeGuard	60.111	489.3	20	22
HG00097	GenomeGuard	48.789	477.0	20	22
HG00099	GenomeGuard	48.609	477.8	20	22
HG00100	GenomeGuard	46.349	476.3	20	22
HG00101	GenomeGuard	47.485	477.7	20	22
HG00102	GenomeGuard	44.725	478.2	20	22
HG00103	GenomeGuard	53.416	477.0	20	22
HG00105	GenomeGuard	45.793	476.0	20	22
HG00106	GenomeGuard	42.809	477.2	20	22
HG00107	GenomeGuard	45.119	477.5	20	22
HG00108	GenomeGuard	45.323	475.6	20	22
HG00109	GenomeGuard	49.383	477.6	20	22
HG00110	GenomeGuard	45.427	475.8	20	22
HG00111	GenomeGuard	42.555	476.9	20	22
HG00112	GenomeGuard	39.225	475.8	20	22
HG00113	GenomeGuard	39.569	476.2	20	22
HG00114	GenomeGuard	52.371	478.2	20	22
HG00115	GenomeGuard	59.045	477.1	20	22
HG00116	GenomeGuard	54.351	475.8	20	22
HG00117	GenomeGuard	48.053	476.1	20	22
HG00118	GenomeGuard	60.079	476.4	20	22
HG00119	GenomeGuard	70.072	475.3	20	22
HG00120	GenomeGuard	61.563	477.3	20	22
HG00121	GenomeGuard	66.23	476.5	20	22
HG00122	GenomeGuard	48.621	475.5	20	22
HG00123	GenomeGuard	47.507	476.9	20	22
HG00125	GenomeGuard	43.029	476.5	20	22
HG00126	GenomeGuard	52.63	479.3	20	22
HG00127	GenomeGuard	47.704	476.7	20	22
HG00128	GenomeGuard	49.683	476.3	20	22
HG00129	GenomeGuard	50.825	475.6	20	22
HG00130	GenomeGuard	42.229	478.1	20	22
HG00131	GenomeGuard	43.971	476.7	20	22
HG00132	GenomeGuard	48.905	476.3	20	22
HG00133	GenomeGuard	56.208	476.8	20	22
HG00136	GenomeGuard	49.374	475.4	20	22
HG00137	GenomeGuard	49.996	476.4	20	22
HG00138	GenomeGuard	53.428	479.2	20	22
HG00139	GenomeGuard	56.485	476.7	20	22
HG00140	GenomeGuard	45.234	476.1	20	22
HG00141	GenomeGuard	49.263	475.7	20	22
HG00142	GenomeGuard	51.328	476.9	20	22
HG00143	GenomeGuard	45.802	477.1	20	22
HG00145	GenomeGuard	52.77	475.8	20	22
HG00146	GenomeGuard	50.496	477.5	20	22
HG00148	GenomeGuard	49.912	476.7	20	22
HG00149	GenomeGuard	52.391	477.6	20	22
HG00150	GenomeGuard	50.89	475.3	20	22
HG00151	GenomeGuard	61.994	477.9	20	22
HG00154	GenomeGuard	58.986	476.6	20	22
HG00155	GenomeGuard	43.205	477.4	20	22
HG00157	GenomeGuard	44.196	478.4	20	22
HG00158	GenomeGuard	47.416	477.3	20	22
HG00159	GenomeGuard	60.362	476.8	20	22
HG00160	GenomeGuard	70.541	475.3	20	22
HG00171	GenomeGuard	64.253	478.0	20	22
HG00173	GenomeGuard	67.806	476.7	20	22
HG00174	GenomeGuard	55.921	476.7	20	22
HG00176	GenomeGuard	54.538	475.6	20	22
HG00177	GenomeGuard	56.312	477.7	20	22
HG00178	GenomeGuard	54.164	476.9	20	22
HG00179	GenomeGuard	72.42	477.8	20	22
HG00180	GenomeGuard	72.879	476.7	20	22
HG00181	GenomeGuard	103.998	476.4	20	22
HG00182	GenomeGuard	74.877	478.4	20	22
HG00183	GenomeGuard	69.959	477.2	20	22
HG00185	GenomeGuard	53.469	477.4	20	22
HG00186	GenomeGuard	68.811	476.2	20	22
HG00187	GenomeGuard	78.37	476.7	20	22
HG00188	GenomeGuard	83.827	478.7	20	22
HG00189	GenomeGuard	53.165	477.2	20	22
HG00190	GenomeGuard	59.701	478.6	20	22
HG00231	GenomeGuard	53.863	477.2	20	22
HG00232	GenomeGuard	52.663	476.5	20	22
HG00233	GenomeGuard	56.387	476.8	20	22
HG00234	GenomeGuard	52.908	475.9	20	22
HG00235	GenomeGuard	49.757	476.4	20	22
HG00236	GenomeGuard	53.188	477.3	20	22
HG00237	GenomeGuard	61.784	476.8	20	22
HG00238	GenomeGuard	54.489	477.9	20	22
HG00239	GenomeGuard	68.573	477.8	20	22
HG00240	GenomeGuard	53.328	476.4	20	22
HG00242	GenomeGuard	60.257	476.7	20	22
HG00243	GenomeGuard	50.616	477.7	20	22
HG00244	GenomeGuard	48.832	476.5	20	22
HG00245	GenomeGuard	55.53	477.4	20	22
HG00246	GenomeGuard	64.531	476.9	20	22
HG00250	GenomeGuard	67.883	477.1	20	22
HG00251	GenomeGuard	56.19	478.8	20	22
HG00252	GenomeGuard	66.129	479.1	20	22
HG00253	GenomeGuard	69.753	475.5	20	22
HG00254	GenomeGuard	64.529	478.4	20	22
HG00255	GenomeGuard	52.177	476.9	20	22
HG00256	GenomeGuard	51.9	476.7	20	22
HG00257	GenomeGuard	51.998	476.7	20	22
HG00258	GenomeGuard	55.63	476.6	20	22
HG00259	GenomeGuard	52.185	478.4	20	22
HG00260	GenomeGuard	50.245	478.2	20	22
HG00261	GenomeGuard	46.319	477.0	20	22
HG00262	GenomeGuard	49.682	478.5	20	22
HG00263	GenomeGuard	52.011	477.5	20	22
HG00264	GenomeGuard	44.892	476.9	20	22
HG00265	GenomeGuard	47.747	477.3	20	22
HG00266	GenomeGuard	42.6	475.4	20	22
HG00267	GenomeGuard	47.519	476.5	20	22
HG00268	GenomeGuard	50.368	477.3	20	22
HG00269	GenomeGuard	54.472	478.1	20	22
HG00271	GenomeGuard	52.379	479.2	20	22
HG00272	GenomeGuard	54.862	476.7	20	22
HG00273	GenomeGuard	59.238	477.7	20	22
HG00274	GenomeGuard	54.284	476.1	20	22
HG00275	GenomeGuard	53.336	478.0	20	22
HG00276	GenomeGuard	51.724	477.8	20	22
HG00277	GenomeGuard	54.559	476.1	20	22
HG00278	GenomeGuard	57.244	476.8	20	22
HG00280	GenomeGuard	56.754	478.3	20	22
HG00281	GenomeGuard	57.459	475.6	20	22
HG00282	GenomeGuard	57.845	478.3	20	22
HG00284	GenomeGuard	48.538	478.4	20	22
HG00285	GenomeGuard	63.936	477.4	20	22
HG00288	GenomeGuard	64.465	477.2	20	22
HG00290	GenomeGuard	66.201	477.1	20	22
HG00304	GenomeGuard	54.623	476.6	20	22
HG00306	GenomeGuard	47.954	476.8	20	22
HG00308	GenomeGuard	51.38	477.9	20	22
HG00309	GenomeGuard	49.031	476.7	20	22
HG00310	GenomeGuard	56.703	477.8	20	22
HG00311	GenomeGuard	49.798	476.3	20	22
HG00313	GenomeGuard	50.185	478.1	20	22
HG00315	GenomeGuard	53.632	477.5	20	22
HG00318	GenomeGuard	50.392	476.6	20	22
HG00319	GenomeGuard	56.501	477.3	20	22
HG00320	GenomeGuard	67.301	477.2	20	22
HG00321	GenomeGuard	55.186	476.1	20	22
HG00323	GenomeGuard	55.086	476.6	20	22
HG00324	GenomeGuard	55.924	477.7	20	22
HG00325	GenomeGuard	62.478	476.9	20	22
HG00326	GenomeGuard	57.59	476.9	20	22
HG00327	GenomeGuard	56.393	477.6	20	22
HG00328	GenomeGuard	57.018	477.4	20	22
HG00329	GenomeGuard	59.739	476.2	20	22
HG00330	GenomeGuard	53.461	476.6	20	22
HG00331	GenomeGuard	67.956	476.5	20	22
HG00332	GenomeGuard	60.983	476.1	20	22
HG00334	GenomeGuard	55.018	476.6	20	22
HG00335	GenomeGuard	52.004	477.5	20	22
HG00336	GenomeGuard	53.294	476.3	20	22
HG00337	GenomeGuard	56.533	476.3	20	22
HG00338	GenomeGuard	53.566	477.9	20	22
HG00339	GenomeGuard	56.554	476.9	20	22
HG00341	GenomeGuard	67.787	477.0	20	22
HG00342	GenomeGuard	56.349	476.1	20	22
HG00343	GenomeGuard	53.385	476.2	20	22
HG00344	GenomeGuard	86.161	477.7	20	22
HG00345	GenomeGuard	67.453	476.1	20	22
HG00346	GenomeGuard	54.997	477.7	20	22
HG00349	GenomeGuard	62.896	476.3	20	22
HG00350	GenomeGuard	55.746	476.2	20	22
HG00351	GenomeGuard	69.172	477.7	20	22
HG00353	GenomeGuard	77.71	478.0	20	22
HG00355	GenomeGuard	63.577	477.0	20	22
HG00356	GenomeGuard	52.196	477.5	20	22
HG00357	GenomeGuard	50.206	478.3	20	22
HG00358	GenomeGuard	49.2	477.3	20	22
HG00360	GenomeGuard	47.989	477.1	20	22
HG00361	GenomeGuard	47.044	476.4	20	22
HG00362	GenomeGuard	47.165	476.3	20	22
HG00364	GenomeGuard	50.913	476.0	20	22
HG00365	GenomeGuard	65.56	475.8	20	22
HG00366	GenomeGuard	59.58	476.8	20	22
HG00367	GenomeGuard	48.584	476.3	20	22
HG00368	GenomeGuard	73.187	477.0	20	22
HG00369	GenomeGuard	75.026	476.9	20	22
HG00371	GenomeGuard	75.304	476.0	20	22
HG00372	GenomeGuard	54.392	476.7	20	22
HG00373	GenomeGuard	67.366	477.7	20	22
HG00375	GenomeGuard	70.09	477.3	20	22
HG00376	GenomeGuard	81.49	478.4	20	22
HG00378	GenomeGuard	53.931	477.0	20	22
HG00379	GenomeGuard	83.458	476.1	20	22
HG00380	GenomeGuard	86.373	477.0	20	22
HG00381	GenomeGuard	70.81	475.7	20	22
HG00382	GenomeGuard	61.509	478.3	20	22
HG00383	GenomeGuard	53.907	477.0	20	22
HG00384	GenomeGuard	67.991	477.1	20	22
HG00403	GenomeGuard	54.653	478.3	20	22
HG00404	GenomeGuard	70.563	478.1	20	22
HG00405	GenomeGuard	67.585	478.4	20	22
HG00406	GenomeGuard	59.27	477.9	20	22
HG00407	GenomeGuard	47.834	476.0	20	22
HG00408	GenomeGuard	69.199	478.6	20	22
HG00409	GenomeGuard	73.303	477.2	20	22
HG00410	GenomeGuard	74.252	477.8	20	22
HG00418	GenomeGuard	68.196	477.7	20	22
HG00419	GenomeGuard	68.943	476.1	20	22
HG00420	GenomeGuard	73.228	476.1	20	22
HG00421	GenomeGuard	52.289	477.6	20	22
HG00422	GenomeGuard	64.583	476.2	20	22
HG00423	GenomeGuard	60.043	476.6	20	22
HG00427	GenomeGuard	63.472	475.5	20	22
HG00428	GenomeGuard	64.292	478.0	20	22
HG00429	GenomeGuard	67.601	477.7	20	22
HG00436	GenomeGuard	57.372	476.0	20	22
HG00437	GenomeGuard	50.431	476.4	20	22
HG00438	GenomeGuard	53.384	477.8	20	22
HG00442	GenomeGuard	53.336	477.8	20	22
HG00443	GenomeGuard	60.709	477.6	20	22
HG00444	GenomeGuard	74.172	477.4	20	22
HG00445	GenomeGuard	52.021	476.9	20	22
HG00446	GenomeGuard	51.244	476.4	20	22
HG00447	GenomeGuard	61.746	477.4	20	22
HG00448	GenomeGuard	74.448	477.0	20	22
HG00449	GenomeGuard	67.36	476.9	20	22
HG00450	GenomeGuard	64.29	476.7	20	22
HG00451	GenomeGuard	60.843	475.8	20	22
HG00452	GenomeGuard	65.021	478.1	20	22
HG00453	GenomeGuard	67.001	476.3	20	22
HG00457	GenomeGuard	64.104	476.3	20	22
HG00458	GenomeGuard	67.46	476.8	20	22
HG00459	GenomeGuard	67.317	476.2	20	22
HG00463	GenomeGuard	67.672	476.0	20	22
HG00464	GenomeGuard	67.431	477.4	20	22
HG00465	GenomeGuard	69.152	476.8	20	22
HG00472	GenomeGuard	66.741	476.7	20	22
HG00473	GenomeGuard	66.167	475.8	20	22
HG00474	GenomeGuard	60.604	476.2	20	22
HG00475	GenomeGuard	57.068	476.3	20	22
HG00476	GenomeGuard	59.4	475.9	20	22
HG00477	GenomeGuard	62.149	477.3	20	22
HG00478	GenomeGuard	63.533	475.3	20	22
HG00479	GenomeGuard	61.582	477.8	20	22
HG00480	GenomeGuard	65.663	477.0	20	22
HG00500	GenomeGuard	69.892	476.8	20	22
HG00501	GenomeGuard	62.601	476.7	20	22
HG00502	GenomeGuard	54.258	476.9	20	22
HG00512	GenomeGuard	66.178	476.8	20	22
HG00513	GenomeGuard	52.511	476.6	20	22
HG00514	GenomeGuard	49.306	476.7	20	22
HG00524	GenomeGuard	49.07	476.9	20	22
HG00525	GenomeGuard	56.49	478.5	20	22
HG00526	GenomeGuard	70.388	477.3	20	22
HG00530	GenomeGuard	67.552	478.5	20	22
HG00531	GenomeGuard	58.285	477.6	20	22
HG00532	GenomeGuard	57.649	477.7	20	22
HG00533	GenomeGuard	69.166	476.7	20	22
HG00534	GenomeGuard	66.361	477.2	20	22
HG00535	GenomeGuard	67.673	477.4	20	22
HG00536	GenomeGuard	68.871	477.3	20	22
HG00537	GenomeGuard	65.615	476.7	20	22
HG00538	GenomeGuard	65.437	475.8	20	22
HG00542	GenomeGuard	63.746	476.7	20	22
HG00543	GenomeGuard	54.84	477.0	20	22
HG00544	GenomeGuard	49.889	477.4	20	22
HG00551	GenomeGuard	53.95	476.0	20	22
HG00552	GenomeGuard	65.288	477.2	20	22
HG00553	GenomeGuard	67.17	475.9	20	22
HG00554	GenomeGuard	72.197	475.3	20	22
HG00555	GenomeGuard	68.235	475.8	20	22
HG00556	GenomeGuard	64.388	477.1	20	22
HG00557	GenomeGuard	74.437	475.8	20	22
HG00558	GenomeGuard	52.901	476.6	20	22
HG00559	GenomeGuard	59.761	477.0	20	22
HG00560	GenomeGuard	68.47	476.8	20	22
HG00561	GenomeGuard	63.925	477.6	20	22
HG00565	GenomeGuard	65.923	476.4	20	22
HG00566	GenomeGuard	61.172	477.0	20	22
HG00567	GenomeGuard	65.338	477.3	20	22
HG00577	GenomeGuard	70.169	476.2	20	22
HG00578	GenomeGuard	71.077	477.6	20	22
HG00579	GenomeGuard	92.913	476.9	20	22
HG00580	GenomeGuard	55.076	477.1	20	22
HG00581	GenomeGuard	63.719	475.6	20	22
HG00582	GenomeGuard	48.128	476.8	20	22
HG00583	GenomeGuard	48.288	477.4	20	22
HG00584	GenomeGuard	57.805	476.6	20	22
HG00585	GenomeGuard	49.369	476.5	20	22
HG00589	GenomeGuard	47.729	477.1	20	22
HG00590	GenomeGuard	59.246	476.0	20	22
HG00591	GenomeGuard	54.409	478.2	20	22
HG00592	GenomeGuard	47.829	476.7	20	22
HG00593	GenomeGuard	52.327	476.9	20	22
HG00594	GenomeGuard	48.583	477.3	20	22
HG00595	GenomeGuard	51.318	476.0	20	22
HG00596	GenomeGuard	51.194	477.7	20	22
HG00597	GenomeGuard	74.0	477.4	20	22
HG00598	GenomeGuard	64.573	476.5	20	22
HG00599	GenomeGuard	68.95	477.0	20	22
HG00607	GenomeGuard	50.394	476.2	20	22
