sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00096	PharmCAT	2.8	0	21	0
HG00097	PharmCAT	0.3	0	21	0
HG00099	PharmCAT	0.8	0	21	0
HG00100	PharmCAT	1.1	0	21	0
HG00101	PharmCAT	0.3	0	21	0
HG00102	PharmCAT	0.3	0	21	0
HG00103	PharmCAT	0.3	0	21	0
HG00105	PharmCAT	0.3	0	21	0
HG00106	PharmCAT	0.3	0	21	0
HG00107	PharmCAT	0.3	0	21	0
HG00108	PharmCAT	0.3	0	21	0
HG00109	PharmCAT	0.3	0	21	0
HG00110	PharmCAT	0.3	0	21	0
HG00111	PharmCAT	0.2	0	21	0
HG00112	PharmCAT	0.2	0	21	0
HG00113	PharmCAT	0.3	0	21	0
HG00114	PharmCAT	0.3	0	21	0
HG00115	PharmCAT	0.3	0	21	0
HG00116	PharmCAT	0.3	0	21	0
HG00117	PharmCAT	0.3	0	21	0
HG00118	PharmCAT	0.3	0	21	0
HG00119	PharmCAT	0.3	0	21	0
HG00120	PharmCAT	0.3	0	21	0
HG00121	PharmCAT	0.3	0	21	0
HG00122	PharmCAT	0.3	0	21	0
HG00123	PharmCAT	0.3	0	21	0
HG00125	PharmCAT	0.3	0	21	0
HG00126	PharmCAT	0.3	0	21	0
HG00127	PharmCAT	0.3	0	21	0
HG00128	PharmCAT	0.3	0	21	0
HG00129	PharmCAT	0.3	0	21	0
HG00130	PharmCAT	0.3	0	21	0
HG00131	PharmCAT	0.3	0	21	0
HG00132	PharmCAT	0.3	0	21	0
HG00133	PharmCAT	0.3	0	21	0
HG00136	PharmCAT	0.3	0	21	0
HG00137	PharmCAT	0.3	0	21	0
HG00138	PharmCAT	0.3	0	21	0
HG00139	PharmCAT	0.3	0	21	0
HG00140	PharmCAT	0.2	0	21	0
HG00141	PharmCAT	0.3	0	21	0
HG00142	PharmCAT	0.3	0	21	0
HG00143	PharmCAT	0.3	0	21	0
HG00145	PharmCAT	0.3	0	21	0
HG00146	PharmCAT	0.3	0	21	0
HG00148	PharmCAT	0.3	0	21	0
HG00149	PharmCAT	0.2	0	21	0
HG00150	PharmCAT	0.3	0	21	0
HG00151	PharmCAT	0.3	0	21	0
HG00154	PharmCAT	0.3	0	21	0
HG00155	PharmCAT	0.3	0	21	0
HG00157	PharmCAT	0.2	0	21	0
HG00158	PharmCAT	0.3	0	21	0
