sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00096	PyPGx	0.8	0	0	0
HG00097	PyPGx	0.6	0	0	0
HG00099	PyPGx	0.7	0	0	0
HG00100	PyPGx	0.7	0	0	0
HG00101	PyPGx	0.7	0	0	0
HG00403	PyPGx	0.5	0	0	0
HG00404	PyPGx	0.5	0	0	0
HG00405	PyPGx	0.5	0	0	0
HG00406	PyPGx	0.5	0	0	0
HG00407	PyPGx	0.6	0	0	0
HG00551	PyPGx	0.5	0	0	0
HG00552	PyPGx	0.5	0	0	0
HG00553	PyPGx	0.5	0	0	0
HG00554	PyPGx	0.4	0	0	0
HG00555	PyPGx	0.5	0	0	0
HG01879	PyPGx	0.4	0	0	0
HG01880	PyPGx	0.4	0	0	0
HG01881	PyPGx	0.6	0	0	0
HG01882	PyPGx	0.5	0	0	0
HG01883	PyPGx	0.5	0	0	0
